SMILES,tb_score,sa_score,sc_score,smiles
O([C@@]12[C@@H](C1(C)C)[C@H]1[C@](O)([C@@H]([C@H]2OC(=O)CCC)C)[C@H]2[C@](O)(CC(=C1)CO)C(=O)C(=C2)C)C(=O)CCC,0.4605353191229571,5.075396257148522,3.713904391126485,107
Cl\C(Cl)=C\[C@@H]1C([C@@H]1C(OCc1cc(Oc2ccccc2)ccc1)=O)(C)C,0.6499130197001904,3.0408591298236565,2.9361636348064435,58
O1[C@@H]([C@@H](O)[C@@H](O[C@H](C)C(=O)N[C@H](C(=O)N[C@H](CCC(O)=O)C(=O)N)C)[C@@H](NC(=O)C)[C@@H]1O)CO,0.5751427159713336,4.236697687169602,4.7456460465524115,102
O1Cc2c([C@@](O)(CC)C1=O)cc1n(Cc3c1nc1c(c3)c(CN(C)C)c(O)cc1)c2=O,0.6380798823101518,3.481037185970772,4.229007705151656,63
O(C(=O)C1(N(c2ccccc2)C(=O)CC)CCN(CC1)CCc1ccccc1)C,0.65,2.402677525784433,3.5853745968449773,49
Cc1onc(c2ccccc2)c1c1ccc(cc1)S(=O)(=O)N,0.65,1.9517965581793144,3.341102555505844,38
Cc1c(c(no1)c1c(cccc1Cl)Cl)C(N[C@@H]1C(N2[C@@H]1SC(C)(C)[C@@H]2C(O)=O)=O)=O,1.0,3.6656237643204976,3.466315861502132,74
CN(C)CCO[C@@H](c1ccccc1)c1ccccc1C,1.0,2.380220485743994,3.0021403166340286,33
CC(C)[C@@H](C(N[C@@H](Cc1ccccc1)C[C@@H]([C@H](Cc1ccccc1)NC(=O)OCc1cncs1)O)=O)NC(N(C)Cc1csc(C(C)C)n1)=O,0.5803586530104935,4.190241338725608,4.398492969266678,102
c1([C@@](c2ccccc2)(CC)O)cc(ccc1)C(F)(F)F,1.0,2.488663341835272,2.190438857016485,40
O[C@@H]1C[C@H]2[C@@]([C@@H]3[C@H]([C@H]4[C@@](CC3)([C@H](CC4)C(=O)C)C)CC2)(CC1)C,0.5947350106490995,4.0538952668129,2.6118835778416654,80
O=C(N1CCCC1)C([C@@H](CN1CCOCC1)C)(c1ccccc1)c1ccccc1,0.65,2.8775580376894516,3.0167372213548567,51
Clc1ccc2N(CC3CC3)C(=O)CN=C(c3ccccc3)c2c1,0.92,2.2675145981486584,3.556301659714148,40
n1(c(cnc1)[N+](=O)[O-])CCN1CCOCC1,1.0,2.599089278023918,2.6608513514926355,33
